"","Handybetriebssystem","Bildschimzeit_in_Minuten","Shoppingverhalten","Lieblingsfach","Sport_in_Stunden","Kleidergroesse"
"1","iOS",180,"offline","Physik",7,"M"
"2","iOS",660,"offline","BG",1,"M"
"3","iOS",233,"online","Chemie",0,"M"
"4","iOS",290,"offline","Sport",4,"L"
"5","Android",8,"online","Geschichte",2,"L"
"6","Android",253,"offline","SF Musik",10,"L"
"7","iOS",420,"online","Sport",24,"M"
"8","iOS",270,"offline","Chemie",15,"XL"
"9","iOS",3000,"online","Sport",10,"L"
"10","Android",202,"online","Mathematik",0,"L"
"11","Android",275,"offline","Physik",4,"XL"
"12","iOS",180,"online","Sport",12,"L"
"13","iOS",300,"online","Geschichte",7.5,"L"
"14","iOS",240,"online","Bildnerisches Gestalten",5,"S"
"15","iOS",330,"offline","Mathematik",6,"L"
"16","iOS",134,"offline","Sport",5,"M"
"17","iOS",150,"online","Sport",9,"M"
"18","iOS",80,"offline","Geschichte",2,"M"
"19","iOS",240,"online","Sport",4,"L"
"20","Android",180,"offline","Deutsch",3,"M"
"21","iOS",280,"online","Psychologie",1,"M"
"22","iOS",180,"online","Wirtschaft und Recht",10,"M"
"23","iOS",120,"online","Sport",4,"M"
"24","iOS",300,"online","Geographie",8,"XS"
"25","iOS",276,"offline","Englisch",1,"S"
"26","iOS",240,"online","Physik",8,"M"
"27","iOS",180,"online","Psychologie",4,"XS"
"28","iOS",180,"offline","Physik",0,"XS"
"29","iOS",3,"offline","Wirtschaft und Recht",15,"L"
"30","iOS",120,"offline","W&R und Sport",8,"S"
"31","iOS",240,"offline","Englisch",3,"S"
"32","iOS",240,"online","Sport",10,"L"
"33","iOS",200,"online","Sport",6,"L"
"34","iOS",300,"online","Geschichte",5,"M"
"35","iOS",240,"online","Mathematik",6,"M"
"36","iOS",120,"offline","Geschichte",3,"XS"
"37","iOS",186,"offline","English",8,"M"
"38","iOS",360,"online","Englisch",6,"S"
"39","iOS",240,"online","EWR",6,"L"
"40","iOS",240,"offline","math",0,"XS"
"41","iOS",245,"offline","Englisch",2,"S"
"42","iOS",240,"offline","Der",NA,NA
"43","iOS",300,"offline","Wirtschaft und Recht",4,"L"
"44","iOS",197,"online","Psychologie",7,"L"
"45","iOS",600,"online","Geschichte",1,"L"
"46","iOS",240,"online","English",6,"L"
"47","iOS",270,"online","Sport",7,"M"
"48","iOS",250,"online","Wirtschaft Geschichte",8,"M"
"49","iOS",180,"online","Geografie",3,"L"
"50","Android",180,"online","Sport",7,"L"
"51","Android",300,"offline","Wirtschaft und Recht",11,"L"
"52","iOS",360,"online","Sport",5,"L"
"53","Android",377,"online","Sport",2,"L"
"54","iOS",160,"online","Sport",2,"S"
"55","Android",240,"online","Physik",3,"M"
"56","iOS",500,"offline","Geschichte",5,"S"
"57","iOS",280,"online","Sport",9.5,"XL"
"58","iOS",360,"offline","Digitale Kommunikation",5,"L"
"59","Android",300,"offline","Sport",8,"M"
"60","Android",180,"offline","Technisches Gestalten",9,"M"
"61","Android",200,"online","Sport",3,"M"
"62","iOS",300,"online","Deutsch",20,"M"
"63","Android",180,"offline","Musik",0,"M"
"64","iOS",190,"online","Wirtschaft",15,"M"
"65","iOS",400,"online","Englisch",1,"M"
"66","Android",180,"online","Geografie",10,"M"
"67","Android",120,"offline","Geschichte",1,"L"
"68","iOS",240,"offline","Musik Kunstfach",4,"S"
"69","iOS",109,"offline","Geographie",3,"XL"
"70","iOS",120,"offline","Wirtschaft",25,"S"
"71","iOS",360,"online","Deutsch",4,"XS"
"72","Android",180,"offline","Wirtschaft",6,"S"
"73","Android",100,"offline","Deutsch",2,"L"
"74","Android",140,"offline","Geschichte",120,"S"
"75","iOS",385,"online","Mathe",2,"M"
"76","iOS",180,"offline","Wirtschaft",4,"S"
"77","iOS",180,"offline","Sport",10,"S"
"78","iOS",288,"offline","Deutsch",3,"M"
"79","Android",120,"offline","Geschichte",4,"XS"
"80","iOS",480,"online","Bildnerisches Gestalten",3,"XL"
"81","iOS",180,"offline","Sport",7,"S"
"82","iOS",120,"offline","Geschichte",3,"L"
"83","iOS",342,"offline","Englisch",7,"XL"
"84","iOS",201,"offline","Bildnerisches Gestalten",15,"S"
"85","iOS",270,"online","Englisch",1,"XS"
"86","iOS",3.5,"offline","Bildnerisches Gestalten",1,"S"
"87","iOS",240,"offline","Sport",7,"L"
"88","iOS",300,"online","Sport",8,"L"
